id,Embedding-7,Embedding-22,Embedding-24,Embedding-25,Embedding-26,Embedding-38,Embedding-39,Embedding-48,Embedding-54,Embedding-57,Embedding-58,Embedding-59,Embedding-63,NRC-Affect-Intensity-fear_Score,NRC-Affect-Intensity-sadness_Score,NRC-Affect-Intensity-joy_Score,mean_mpqa-negCount,BingLiu-posCount,AFINN-posScore,AFINN-negScore,mpqa-negCount,NRC-10-disgust,NRC-10-joy,NRC-10-negative,NRC-10-surprise,NRC-10-Expanded-joy,NRC-10-Expanded-surprise,NRC-10-Expanded-sadness,NRC-Hash-Emo-surprise,Negation-negationCount,Emoticons-posScore,Emoticons-negScore,lda1,lda2,lda3,lda4,lda6,lda7,lda8,lda9,lda10,NN,VB,CD,NNS,VBP,RB,VBD,MD,VBN,DT,NNP,JJS,JJR,FW,SYM,VBZ,RBS,RBR,VBG,TO,LS,CC,PRP,RP,UH,WP$,COUNTRY,DATE,NATIONALITY,CAUSE_OF_DEATH,NUMBER,TITLE,ORDINAL,STATE_OR_PROVINCE,RELIGION,IDEOLOGY,DURATION,ORGANIZATION,MONEY,TIME,PERSON,CRIMINAL_CHARGE,PERCENT,LOCATION,CITY,sq_Embedding-22,sq_Embedding-33,sq_Embedding-56,sq_Embedding-92,sq_Embedding-93,mean_Emoticons-posScore,sq_Emoticons-posScore,sqrt_Emoticons-posScore,log_Emoticons-posScore,mean_Emoticons-negScore,sq_Emoticons-negScore,sqrt_Emoticons-negScore,mean_WP$,sq_WP$,sqrt_WP$,sq_STATE_OR_PROVINCE,sqrt_PC3,sqrt_PC4
1723,0.090331,0.015055,-0.053169,0.011933,-0.004833,-0.041818,-0.027483,-0.078675,-0.045073,-0.073678,-0.056367,0.021959,-0.033596,0,0,0,-0.466639039,0,1,0,1,0,0,0,0,0.041274,0.10813,0.686024,0.107927,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226653,0.015203876,0.001977314,0.001334733,0.005218762,0,0,0,1.151292546,0,0,0,0,0,0,0,1.400126789,1.127350015
12736,0.01497,0.009556,-0.029277,-0.070925,-0.044901,-0.044496,0.013467,-0.053922,-0.035845,-0.015536,-0.022736,0.012349,-0.008298,0.422,0,0,-0.466639039,0,0,-3,1,0,0,2,0,0.071643,0.087132,0.056973,1.052929,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13E-05,0.000136049,6.86E-05,6.72E-05,0.00684144,0,0,0,1.151292546,0,0,0,0,0,0,0,1.048404828,0.542228449
12274,0.034612,0.034622,0.027506,-0.011277,0.036617,-0.024023,0.030027,-0.015322,-0.021166,0.025453,0.029521,0.024933,-0.001944,0.734,0.531,0.234,-0.466639039,0,0,-2,1,0,1,3,2,0.110191,0.060377,0.047499,0.230098,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001198683,0.000131722,0.000128596,0.000603488,0.000355888,0,0,0,1.151292546,0,0,0,0,0,0,0,0.990649603,1.390852124
8823,0.033014,0.01592,0.007331,-0.018767,0.035405,0.011084,0.015901,-0.073669,-0.036343,-0.009075,-0.049405,0.019301,-0.013026,0,0,0,-0.466639039,0,0,0,1,0,0,1,1,0.075108,0.082122,0.60482,0.175641,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253446,0.001260818,0.002100939,0.000231953,0.000896883,0,0,0,1.151292546,0,0,0,0,0,0,0,0.588767109,1.158662692
5087,0.052976,0.041187,-0.012087,-0.027649,0.01474,-0.022204,-0.014986,-0.038671,0.033082,0.003456,-0.057525,-0.002829,-0.074935,0,0,0,0.533360961,0,0,0,0,0,0,0,0,0.071765,0.098265,0.101804,0.257509,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001696369,0.000657871,0.002549745,4.73E-05,4.23E-05,0,0,0,1.151292546,0,0,0,0,0,0,0,0.33795476,1.135661704
13178,0.002175,-0.016892,-0.005283,-0.062893,0.018577,-0.076724,-0.008109,-0.067516,0.028383,0.046048,-0.040991,0.006907,-0.009492,0,0,0,0.533360961,0,0,0,0,1,0,0,0,0.160677,0.095759,0.075996,0.744916,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028534,5.95E-05,0.001804126,0.00052877,0.001395321,0,0,0,1.151292546,0,0,0,0,0,0,0,1.374192775,0.169921005
11799,-0.001537,0.046728,-0.040451,-0.049178,-0.021321,-0.015959,-0.09063,-0.110782,0.00045,-0.036248,0.02513,-0.002726,0.047825,0,0,0.824,-0.466639039,0,0,-1,1,0,1,0,1,0.025525,0.045411,0.031954,0.779683,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002183506,0.009279854,0.004730413,0.002221991,0.001227942,0,0,0,1.151292546,0,0,0,0,0,0,0,0.453715512,1.059186502
13425,0.009211,0.041728,-0.04441,-0.010573,-0.041624,-0.005219,-0.056293,-0.043252,-0.001817,-0.016349,0.004334,-0.049323,0.030064,0,0,0,0.533360961,0,0,-3,0,0,0,1,0,0.179291,0.110553,0.233939,0.284521,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001741226,0.004036442,0.000310323,6.46E-05,0.000985332,0,0,0,1.151292546,0,0,0,0,0,0,0,1.460073903,0.172843704
12497,0.056401,-0.012074,-0.060404,-0.033534,0.026634,-0.083906,0.025174,-0.035905,-0.014656,-0.059686,-0.076282,0.077642,-0.010501,0,0.142,0.242,0.533360961,0,0,-1,0,0,1,1,0,0.202395,0.120593,0.053985,0.215215,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145781,2.51E-06,0.000687803,0.002231901,4.12E-08,0,0,0,1.151292546,0,0,0,0,0,0,0,0.841412917,0.986061388
1185,0.037173,0.044928,-0.02447,-0.029297,-0.029317,-0.023659,-0.014172,-0.049923,0.001977,-0.053639,-0.015286,-0.050294,0.02477,0.453,0.484,0,-0.466639039,0,0,-1,1,1,0,1,0,0.02692,0.159435,0.084459,0.550136,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002018525,0.009278891,0.001414738,0.001956381,0.001476557,0,0,0,1.151292546,0,0,0,0,0,0,0,0.711926887,0.147372128
